大会名,公式サイトURL,開催日,開催地,都道府県
第40回行田市鉄剣マラソン大会,http://tekken-marathon.jp/,2026.4.5(日),埼玉県行田市,埼玉県
第28回本庄こだま千本桜マラソン大会,https://www.web-marathon.net/honjomarathon/,2026.4.5(日),埼玉県本庄市,埼玉県
第21回戸田・彩湖フルマラソン＆ウルトラマラソ,https://www.sportsentry.ne.jp/event/t/98513,2026.4.11(土),埼玉県戸田市,埼玉県
【開催中止】2026 花の長瀞・お宝登山 米担ぎトレイルレース,,2026.4.11(土),埼玉県長瀞町,埼玉県
第1回 北武蔵Giant’s Gate,https://npo-sup.org/blog/news/kitamusashi_trail_vol01_entry/,2026.4.18(土),埼玉県長瀞町,埼玉県
第15回奥武蔵もろやまトレイルラン,http://sportsaid-japan.org/,2026.4.19(日),埼玉県毛呂山町,埼玉県
第38回春日部大凧マラソン大会,https://odako-marathon.jp/,2026.5.4(月),埼玉県春日部市,埼玉県
第47回奥武蔵もろやま仰天マラソン,https://www.sportsentry.ne.jp/event/t/103469,2026.5.10(日),埼玉県毛呂山町,埼玉県
第5回FunTrails Round みなの50K/30K,http://fun-trails.com/race/minano/,2026.5.10(日),埼玉県皆野町,埼玉県
第11回トレニックワールド100mile & 100km in 彩の国,https://trainic-world.org/sainokuni/,2026.5.16(土),埼玉県越生町,埼玉県
第15回飯能ベアフットマラソン,https://hadashirunning.jp/event/2026/5/202605-4423.php,2026.5.17(日),埼玉県飯能市,埼玉県
第4回 奥武蔵ロングトレイルレース,https://okumusashi105k-race.com/,2026.5.30(土),埼玉県飯能市,埼玉県
第67回秩父宮記念ミューズの森チャレンジロードレース大会,https://www.city.chichibu.lg.jp/,2026.6.14(日),埼玉県秩父市,埼玉県
第4回 Around Toki River,https://npo-sup.org/blog/event/atr_vol04/,2026.6.14(日),埼玉県越生町,埼玉県
第14回日本百名山・両神山麓トレイルラン,http://sportsaid-japan.org/,2026.6.21(日),埼玉県小鹿野町,埼玉県
第34回いんない石橋マラソン大会,https://i-sam.co.jp/15innai/,2026.3.15(日),大分県宇佐市院内町,大分県
第27回天領日田ひなまつり健康マラソン,https://local-gain.com/hita-hinamatsuri-marathon/,2026.3.15(日),大分県日田市,大分県
第67回三重町さくらロードレース大会,https://www.kokokara-plus.jp/news-chuo/1254.html,2026.3.15(日),大分県豊後大野市,大分県
ゆふいんＳＰＡ健康リレーマラソン2026（第34回ゆふいんSPA健康マラソン大会）,https://www.i-sam.co.jp/yufuin-bonchi/,2026.3.15(日),大分県由布市,大分県
第50回臼杵市さくらマラソン大会,https://usukishisakura-m.jp/,2026.3.22(日),大分県臼杵市,大分県
第6回のつはる湖山桜マラソン,https://nspo-oita.com/yamazakura/,2026.3.22(日),大分県大分市,大分県
